subsystem,process,bdx
ps,ps_rts,EB518
so,so_rts,OB10001
so,so_rts,OB10002
so,so_rts,OB10003
so,so_rts,OB10006
so,so_rts,OB10007
rm,rm_rts,JB10001
rm,rm_rts,JB10094
so,so_rts,OB10006
so,so_rts,OB10007
rm,rm_rts,JB10001
rm,rm_rts,JB10005
rm,rm_rts,JB10083
rm,rm_rts,JB10009
rm,rm_rts,JB10094
se,se_rts,SB10007
cm,cm_rts,FB10005
cm,cm_rts,FB10015
ps,ps_rts,EB10001
se,se_rts,SB10001
se,se_rts,SB10002
rm,rm_rts,JB10123
rm,rm_rts,JB10124
rm,rm_rts,JB10125
rm,rm_rts,JB10126
rm,rm_rts,JB10127
ps,ps_rts,EB521
ps,ps_rts,EB522
ps,ps_rts,EB526
ps,ps_rts,EB2048
ps,ps_rts,EB518
ps,ps_rts,EB10008
ps,ps_rts,EB519
se,se_rts,SB10001
se,se_rts,SB2061
rm,rm_rts,JB10001
rm,rm_rts,JB10095
rm,rm_rts,JB10099
rm,rm_rts,JB10104
rm,rm_rts,JB10106
rm,rm_rts,JB10107
rm,rm_rts,JB1004
rm,rm_rts,JB1005
rm,rm_rts,JB10001
rm,rm_rts,JB359
rm,rm_rts,JB1004
rm,rm_rts,JB1005
rm,rm_rts,JB10107
rm,rm_rts,JB10117
rm,rm_rts,JB10011
so,so_rts,OB10003
so,so_rts,OB10006
so,so_rts,OB10001
so,so_rts,OB10002
so,so_rts,OB10007
cm,cm_rts,FB10006
se,se_rts,SB10007
se,se_rts,SB10013
se,se_rts,SB10009
cm,cm_rts,FB10005
