subsystem,process,bdx
cm,cm_rts,EB518
cm,cm_rts,OB10001
cm,cm_rts,OB10002
cm,cm_rts,OB10003
cm,cm_rts,OB10006
cm,cm_rts,OB10007
cm,cm_rts,JB10001
cm,cm_rts,JB10094
ps,ps_rts,EB521
ps,ps_rts,EB522
ps,ps_rts,EB526
ps,ps_rts,EB2048
rm,rm_rts,EB518
rm,rm_rts,EB10008
rm,rm_rts,EB519
rm,rm_rts,SB10001
rm,rm_rts,SB2061
rm,rm_rts,JB10001
rm,rm_rts,JB10095
rm,rm_rts,JB10099
rm,rm_rts,JB10104
rm,rm_rts,JB10106
rm,rm_rts,JB10107
rm,rm_rts,JB1004
rm,rm_rts,JB1005
rm,rm_rts,JB10001
rm,rm_rts,JB359
rm,rm_rts,JB1004
rm,rm_rts,JB1005
rm,rm_rts,JB10107
rm,rm_rts,JB10117
rm,rm_rts,JB10011
se,se_rts,OB10003
se,se_rts,OB10006
se,se_rts,OB10001
se,se_rts,OB10002
se,se_rts,OB10007
se,se_rts,CB11
so,so_rts,FB10006
so,so_rts,SB10007
so,so_rts,SB10013
so,so_rts,SB10009
so,so_rts,FB10005
gw,gw_consreport,TB1005
gw,gw_consreport,TB1007
gw,gw_consreport,TB1009
gw,gw_consreport,TB1010
gw,gw_consreport,OB10006
gw,gw_consreport,OB10007
gw,gw_consreport,JB10001
gw,gw_consreport,JB10005
gw,gw_consreport,JB10083
gw,gw_consreport,JB10009
gw,gw_consreport,JB10094
gw,gw_consreport,SB10007
gw,gw_consreport,FB10005
gw,gw_consreport,FB10015
gw,gw_consreport,EB10001
gw,gw_consreport,SB10001
gw,gw_consreport,SB10002
gw,gw_consreport,JB10123
gw,gw_consreport,JB10124
gw,gw_consreport,JB10125
gw,gw_consreport,JB10126
gw,gw_consreport,JB10127
gw,gw_consreport,QB10002
